,Country,total_cases,percent
0,Zimbabwe,120434.06896551725,1.7717094583307926
1,Equatorial Guinea,9894.840517241379,0.14556331678946033
2,Morocco,688896.3353448276,10.134376124826552
3,Egypt,286943.91465517244,4.221241148554008
4,Mozambique,117417.63879310346,1.7273346571406902
5,Namibia,89793.6448275862,1.3209571943017266
6,Djibouti,10115.218025751074,0.14880529739830115
7,Eritrea,5349.2844827586205,0.07869349590869638
8,Democratic Republic of Congo,48993.86637931035,0.7207503425735172
9,Nigeria,161657.54913793103,2.3781493997371492
10,Congo,13915.292241379311,0.20470831128812667
11,Comoros,4390.06724137931,0.06458242024926412
12,Reunion,162332.2775862069,2.388075351620063
13,Chad,4469.910344827586,0.06575699470960474
14,Central African Republic,9495.04051724138,0.13968184614311477
15,Niger,5424.036206896551,0.07979317092440665
16,Mayotte,20880.93706896552,0.30718013616635903
17,Eswatini,36861.099137931036,0.542264813836359
18,Ethiopia,275654.63706896553,4.055164223237042
19,Guinea-Bissau,4981.173275862069,0.0732782001159177
20,Guinea,23299.766379310346,0.34276361187249577
21,Kenya,189900.7327586207,2.7936357814891126
22,Lesotho,17283.59396551724,0.2542595061819548
23,Liberia,4348.973275862069,0.06397788560211158
24,Libya,264983.174137931,3.898175989163894
25,Ghana,101592.42931034483,1.4945294919453054
26,Zambia,168020.0431034483,2.471748252903084
27,Gambia,7262.81724137931,0.1068435378062659
28,Gabon,27110.73879310345,0.39882694950570485
29,Madagascar,37961.72586206897,0.5584561689404131
30,Malawi,46894.24913793104,0.689862805870832
31,Mali,16519.960344827585,0.24302566745096726
32,Mauritania,32003.743103448276,0.47080809313685934
33,Mauritius,93032.17931034483,1.368599379137952
34,Rwanda,66644.31982758621,0.9804067303942374
35,Cape Verde,32205.152586206896,0.4737710345093967
36,Cote d'Ivoire,49812.29913793103,0.7327903331834102
37,Cameroon,72233.54051724137,1.0626299355522022
38,Tanzania,17506.664655172415,0.25754110626516385
39,Uganda,89084.45689655172,1.3105243078607016
40,Saint Helena,302.85689655172416,0.004455337536549001
41,Sudan,36986.63620689655,0.5441115936916591
42,Angola,51539.471551724135,0.7581988220601036
43,Benin,14529.477586206896,0.21374361163084576
44,South Sudan,10307.985344827586,0.1516411036232217
45,South Africa,2242165.7784482758,32.98457281186632
46,Somalia,15325.675862068965,0.22545651005043987
47,Tunisia,552953.8991379311,8.13452257769406
48,Botswana,148856.52155172414,2.189833071594738
49,Sierra Leone,4860.490517241379,0.07150283217607878
50,Togo,19504.59655172414,0.286932746592744
51,Algeria,156832.52586206896,2.307168327288632
52,Sao Tome and Principe,3220.0474137931033,0.047370220970648295
53,Seychelles,20900.127586206898,0.30746244848212534
54,Burundi,19990.920689655173,0.2940870766123806
55,Burkina Faso,12531.15603448276,0.18434623907350384
56,Senegal,51210.01637931034,0.7533521964326937
57,Western Sahara,0.0,0.0
