,Country,total_cases
2,Brazil,18259576.137842465
0,Argentina,4897776.464102564
4,Colombia,3630813.515410959
10,Peru,2156520.7303082193
3,Chile,2036141.4717465753
1,Bolivia,523000.49229452055
5,Ecuador,505055.55821917806
12,Uruguay,431108.6344178082
9,Paraguay,369152.7508561644
13,Venezuela,294088.19520547945
7,French Guiana,43645.97345890411

