index,location,daily_people_vaccinated,total_boosters,new_cases
1,Africa,127189.6254805226,81303985.08123852,13556.825972587567
12,Asia,127059.21077404865,82289919.52121153,340653.2025222459
70,Europe,127059.21077404865,82289919.52121153,300577.8515978
162,North America,127059.21077404865,82289919.52121153,129327.35925012271
169,Oceania,127059.21077404865,82289919.52121153,19166.97392798258
211,South America,127059.21077404865,82289919.52121153,71112.34392659811
