index,daily_people_vaccinated,total_boosters,reproduction_rate,new_cases,location
0,127189.6254805226,81303985.08123852,1.0381694143267846,216.18532969176746,Afghanistan
1,127189.6254805226,81303985.08123852,,13556.825972587567,Africa
2,127189.6254805226,81303985.08123852,1.005485648649187,346.9339798371364,Albania
3,127189.6254805226,81303985.08123852,0.977210134583336,234.3500811800687,Algeria
4,127189.6254805226,81303985.08123852,,11.684775905252161,American Samoa
5,127189.6254805226,81303985.08123852,0.8459737871232894,53.77128616918178,Andorra
6,127189.6254805226,81303985.08123852,0.684511031584259,121.8556945615647,Angola
7,127189.6254805226,81303985.08123852,,5.542761129221049,Anguilla
8,127189.6254805226,81303985.08123852,0.6596920584544494,12.336723505614579,Antigua and Barbuda
9,127059.21077404865,82289919.52121153,0.8918373579969856,11256.084794327313,Argentina
10,127189.6254805226,81303985.08123852,0.790703524928127,391.22181037846275,Armenia
11,127059.21077404865,82289919.52121153,,52.47612415314322,Aruba
12,127059.21077404865,82289919.52121153,,340653.2025222459,Asia
13,127132.10199844277,81625542.76364952,1.126136190103112,15622.322070909846,Australia
14,127059.21077404865,82289919.52121153,1.039657732068281,7519.885794117277,Austria
15,127189.6254805226,81303985.08123852,0.9228695398139602,847.0910349514808,Azerbaijan
16,127189.6254805226,81303985.08123852,0.9706320835518846,41.65288912942243,Bahamas
17,127189.6254805226,81303985.08123852,0.9938229767682737,820.2054988483758,Bahrain
18,127086.0492118635,81951039.70736116,0.9808875727858818,2123.2143594326208,Bangladesh
19,127189.6254805226,81303985.08123852,0.9212593202446004,147.1679420537928,Barbados
20,127189.6254805226,81303985.08123852,0.6723867793616753,1058.4094244396058,Belarus
21,127160.83670704141,81464610.71511038,1.1145404447159275,5640.2625514455085,Belgium
22,127105.00048732018,81781197.81390637,0.962865157722109,84.11315855810436,Belize
23,127189.6254805226,81303985.08123852,0.2999154123482037,33.27173926723975,Benin
24,127189.6254805226,81303985.08123852,,25.351572627842877,Bermuda
25,127189.6254805226,81303985.08123852,0.8017167176804127,87.82904358551596,Bhutan
26,127189.6254805226,81303985.08123852,1.0578718304528825,1348.0150592173989,Bolivia
27,127189.6254805226,81303985.08123852,,15.969024736095793,Bonaire Sint Eustatius and Saba
28,127189.6254805226,81303985.08123852,1.026823912942442,383.2983776572313,Bosnia and Herzegovina
29,127189.6254805226,81303985.08123852,0.742123654664604,436.0644406126893,Botswana
30,127059.21077404865,82289919.52121153,1.035809857050852,37784.9989720304,Brazil
31,127189.6254805226,81303985.08123852,,10.326878783683435,British Virgin Islands
32,127189.6254805226,81303985.08123852,0.8870660567148918,378.25087075095576,Brunei
33,127059.21077404865,82289919.52121153,1.0043336896549435,1486.8487911092093,Bulgaria
34,127189.6254805226,81303985.08123852,0.41924488589962355,16.70674486803519,Burkina Faso
35,127189.6254805226,81303985.08123852,0.8775397210068189,72.6249417894856,Burundi
36,127189.6254805226,81303985.08123852,0.9492032560270363,196.29737706568665,Cambodia
37,127189.6254805226,81303985.08123852,0.293295001095523,124.17880382112696,Cameroon
38,127189.6254805226,81303985.08123852,1.0121745134882116,5303.252317075476,Canada
39,127189.6254805226,81303985.08123852,0.9593675844714601,68.72266623035001,Cape Verde
40,127189.6254805226,81303985.08123852,,44.18952714183228,Cayman Islands
41,127189.6254805226,81303985.08123852,0.27948211641757353,12.87061533233484,Central African Republic
42,127189.6254805226,81303985.08123852,0.5236147610100058,6.105005474934867,Chad
43,127059.21077404865,82289919.52121153,1.0028125726198933,6016.583760210439,Chile
44,127189.6254805226,81303985.08123852,1.0661769568363955,105568.14351251684,China
45,127189.6254805226,81303985.08123852,0.8917546294144596,6108.206291369855,Colombia
46,127189.6254805226,81303985.08123852,0.6582878635974319,9.258807093501819,Comoros
47,127189.6254805226,81303985.08123852,0.40039804000982654,24.115867242269015,Congo
48,127189.6254805226,81303985.08123852,,9.683819364907555,Cook Islands
49,127189.6254805226,81303985.08123852,0.8352753082403246,1399.5695770030889,Costa Rica
50,127189.6254805226,81303985.08123852,1.0105539362472031,81.48847746466464,Cote d'Ivoire
51,127069.50350517551,82118916.79239738,1.015152476877826,1464.2826341500265,Croatia
52,127086.0492118635,81951039.70736116,0.9800470078944049,1551.386077303563,Cuba
53,127189.6254805226,81303985.08123852,,57.822114961046154,Curacao
54,127189.6254805226,81303985.08123852,0.9693338556432711,854.5283931160562,Cyprus
55,127059.21077404865,82289919.52121153,0.9961760936970913,4971.0898581551355,Czechia
56,127189.6254805226,81303985.08123852,0.7750141090078545,103.44202862069399,Democratic Republic of Congo
57,127059.21077404865,82289919.52121153,1.03307357266637,4582.343139969542,Denmark
58,127189.6254805226,81303985.08123852,0.6034318418728796,13.0089612727021,Djibouti
59,127189.6254805226,81303985.08123852,0.4577773342381542,22.400607906561113,Dominica
60,127189.6254805226,81303985.08123852,0.9343000272220858,631.0942192239437,Dominican Republic
61,127105.00048732018,81781197.81390637,0.9546932867680745,1104.4607503807283,Ecuador
62,127189.6254805226,81303985.08123852,0.6208710403484426,494.9688683876002,Egypt
63,127189.6254805226,81303985.08123852,0.43818256060233846,206.79832731300266,El Salvador
64,127160.83670704141,81464610.71511038,,,England
65,127189.6254805226,81303985.08123852,0.6865483059231275,15.964664644506815,Equatorial Guinea
66,127189.6254805226,81303985.08123852,0.8166505547329912,11.283016374460372,Eritrea
67,127189.6254805226,81303985.08123852,1.034820035455107,794.2627465293947,Estonia
68,127189.6254805226,81303985.08123852,0.8481936486226289,86.4477049324758,Eswatini
69,127189.6254805226,81303985.08123852,1.004900440201045,489.1188312587316,Ethiopia
