index,location,daily_people_vaccinated,total_boosters,new_cases
76,France,127059.21077404865,82289919.52121153,48751.40347123457
101,India,127059.21077404865,82289919.52121153,47044.782766202756
186,Russia,127059.21077404865,82289919.52121153,25648.27871823594
