,Africa,Asia,Europe,North America,Oceania,South America,year
total_cases,14116.107865818392,118661.09603821299,87678.3945540287,135069.9937022645,817.6446886446887,292856.17853639397,2020
total_cases,107782.12338380197,1061159.217248438,916498.8171855542,1040360.8252589375,6675.770662100456,2123105.4528375734,2021
total_cases,215790.47125829087,3086794.0217870786,3589888.898381071,2514798.3838957567,368082.9212328767,4200124.457925636,2022
total_cases,228728.73091512566,5866937.273418409,4500451.91993059,2961888.6453526695,579499.7421171172,4830015.523166023,2023
